timestamp,tutorial_id,action,screen,runs_completed
1779975509,"first_elite","shown","run","4"
1779975516,"first_elite","skipped","run","4"
1780489004,"map_route","shown","map","0"
1780489008,"map_route","skipped","map","0"
1780489031,"first_event","shown","event","0"
1780489033,"first_event","skipped","event","0"
1780495488,"first_level_up","shown","level_up","0"
1780495491,"first_level_up","skipped","level_up","0"
1780495551,"first_boss","shown","run","0"
1780495554,"first_boss","skipped","run","0"
1780495640,"first_discard","shown","discard","0"
1780495651,"first_discard","skipped","discard","0"
1780504880,"map_route","shown","map","0"
1780504884,"map_route","skipped","map","0"
1780507239,"map_route","shown","map","0"
1780507242,"map_route","skipped","map","0"
1780507258,"first_elite","shown","run","0"
1780507260,"first_elite","skipped","run","0"
1780507354,"first_rest","shown","rest","0"
1780507357,"first_rest","skipped","rest","0"
