timestamp,run_id,area,floor,encounter,action,offered,picked,pick_number,picks_remaining,gold
1779975505,"5","1","1","normal","pick","util_energ|shm_chain_lightning|util_rejuv","util_energ","1","0","10"
1779975560,"5","1","1","elite","pick","util_energ|mag_combust|rng_aim|shm_cataclysm","shm_cataclysm","1","0","35"
1779975642,"5","1","2","boss","pick","shm_chain_lightning|mag_firestorm|rng_rain|util_rejuv","rng_rain","1","1","55"
1779975646,"5","1","2","boss","pick","shm_chain_lightning|mag_firestorm|rng_rain|util_rejuv","util_rejuv","2","0","55"
1779975685,"5","1","2","normal","pick","rng_rain|rng_pounce|shm_storm","rng_rain","1","0","65"
1779977206,"6","1","1","normal","pick","clr_divine|grd_shield_wall|clr_smite","clr_smite","1","0","10"
1779983867,"7","1","1","normal","pick","util_battle_plan|clr_divine|clr_smite","clr_smite","1","0","10"
1779983938,"7","1","1","normal","pick","util_energ|util_battle_plan|clr_smite","clr_smite","1","0","20"
1779984886,"8","1","1","normal","pick","util_for|util_rejuv|rng_aim","util_for","1","0","10"
1779984946,"8","1","1","elite","pick","rog_evis|rng_snipe|rng_rain|util_energ","rng_rain","1","0","35"
1780000151,"8","1","1","normal","pick","util_prep|rog_poison|rog_kick","rog_kick","1","0","10"
1780090425,"9","0","1","normal","pick","shm_storm|grd_shield_wall|grd_vengeful_retribution","shm_storm","1","0","10"
1780090461,"9","0","1","normal","pick","grd_shield_wall|clr_revive|shm_chain_lightning","clr_revive","1","0","20"
1780090486,"9","0","1","normal","skip","shm_lightning|util_aegis_charm|clr_divine","","0","1","30"
1780090502,"9","0","1","normal","pick","util_prep|util_energ|util_field_kit","util_energ","1","0","40"
1780090528,"9","0","1","normal","pick","util_prep|shm_silence|grd_block","shm_silence","1","0","50"
1780090604,"9","0","2","boss","pick","util_prep|util_rejuv|grd_shield_wall|shm_earth","util_rejuv","1","1","100"
1780090611,"9","0","2","boss","pick","util_prep|util_rejuv|grd_shield_wall|shm_earth","util_prep","2","0","100"
1780090955,"9","1","1","normal","pick","clr_smite|clr_revive|shm_storm","shm_storm","1","0","10"
1780091217,"9","0","1","normal","pick","shm_chain|rng_pounce|shm_lightning","shm_lightning","1","0","10"
1780091438,"9","0","1","normal","pick","rng_multishot|util_energ|rng_trap","rng_multishot","1","0","10"
1780091460,"9","0","1","elite","pick","util_field_kit|rng_barrage|rng_trap|mag_combust","rng_barrage","1","0","35"
1780091483,"9","0","1","normal","pick","rng_snipe|mag_meteor|util_mana_surge","mag_meteor","1","0","45"
1780091503,"9","0","2","boss","pick","rog_assass|rog_evis|rog_smoke|mag_pyro","rog_assass","1","1","95"
1780091506,"9","0","2","boss","pick","rog_assass|rog_evis|rog_smoke|mag_pyro","rog_evis","2","0","95"
1780091536,"9","0","2","normal","pick","util_energ|rng_trap|rng_multishot","rng_multishot","1","0","105"
1780091570,"9","0","2","elite","skip","rog_stealth|mag_pyro|util_for|mag_missiles","","0","1","100"
1780091606,"9","0","2","elite","pick","rng_snipe|util_battle_plan|rog_smoke|rog_poison","util_battle_plan","1","0","108"
1780091656,"9","0","2","normal","skip","util_for|rng_multishot|rog_poison","","0","1","118"
1780091669,"9","0","3","boss","skip","util_battle_plan|rng_pounce|rog_kick|rng_aim","","0","2","168"
1780091703,"9","0","3","normal","skip","rng_snipe|mag_pyro|mag_inferno","","0","1","178"
1780091723,"9","0","3","normal","skip","util_mana_surge|rog_kick|mag_pyro","","0","1","153"
1780091754,"9","0","3","normal","skip","rog_backstab|util_mana_surge|util_battle_plan","","0","1","163"
1780091765,"9","0","3","normal","skip","util_prep|mag_scorch|util_battle_plan","","0","1","173"
1780091789,"9","0","3","normal","skip","rog_smoke|mag_frostbolt|rng_trap","","0","1","183"
1780092159,"10","0","1","normal","pick","shm_heal_totem|rng_multishot|rng_heal","rng_multishot","1","0","10"
1780092220,"10","0","1","normal","pick","rog_shadow|util_battle_plan|rng_rain","rng_rain","1","0","20"
1780092325,"10","0","1","normal","pick","util_for|util_field_kit|rog_assass","rog_assass","1","0","30"
1780092372,"10","0","2","boss","pick","rng_pounce|util_energ|rog_kick|util_field_kit","util_field_kit","1","1","80"
1780092373,"10","0","2","boss","pick","rng_pounce|util_energ|rog_kick|util_field_kit","util_energ","2","0","80"
1780115290,"10","1","1","normal","pick","clr_revive|util_mana_surge|rng_snipe","clr_revive","1","0","40"
1780115738,"10","1","1","normal","pick","util_field_kit|clr_heal|rog_kick","rog_kick","1","0","40"
1780117339,"10","1","1","normal","pick","clr_flash|rng_heal|rng_pounce","rng_heal","1","0","40"
1780117386,"10","1","1","normal","pick","clr_revive|rog_stealth|util_battle_plan","clr_revive","1","0","40"
1780117459,"10","1","1","normal","pick","rng_shot|util_mana_surge|rog_evis","rog_evis","1","0","25"
1780117476,"10","1","1","normal","pick","clr_holy_fire|clr_heal|util_prep","util_prep","1","0","35"
1780118133,"10","1","1","normal","pick","rog_shadow|util_field_kit|rng_trap","rog_shadow","1","0","40"
1780118242,"10","1","1","normal","pick","rog_backstab|rng_trap|rng_heal","rng_heal","1","0","12"
1780118362,"10","1","1","normal","pick","mag_fireball|mag_meteor|mag_scorch","mag_meteor","1","0","40"
1780118383,"10","1","1","normal","pick","rog_backstab|rog_poison|rng_multishot","rog_backstab","1","0","20"
1780118389,"10","1","1","normal","pick","mag_inferno|util_mana_surge|util_field_kit","mag_inferno","1","0","30"
1780118440,"11","1","1","normal","pick","mag_combust|mag_firestorm|rog_evis","rog_evis","1","0","40"
1780118610,"11","1","1","normal","pick","rng_rain|rng_pounce|mag_pyro","rng_rain","1","0","40"
1780118644,"11","1","1","normal","pick","rog_kick|mag_firestorm|rng_pounce","rng_pounce","1","0","50"
1780118682,"11","1","1","elite","pick","rog_poison|mag_inferno|rng_aim|rng_snipe","mag_inferno","1","0","45"
1780118743,"11","1","1","elite","pick","rog_shadow|util_rejuv|rog_smoke|mag_combust","rog_shadow","1","0","70"
1780119170,"12","1","1","normal","pick","util_mana_surge|shm_heal_totem|clr_heal","shm_heal_totem","1","0","40"
1780119490,"12","0","1","normal","pick","rog_backstab|rng_rain|rog_poison","rng_rain","1","0","40"
1780119513,"12","0","1","normal","pick","rng_shot|rog_assass|rng_rain","rog_assass","1","0","50"
1780119539,"12","0","1","normal","pick","rog_evis|util_battle_plan|rng_barrage","rog_evis","1","0","60"
1780119549,"12","0","1","normal","pick","util_energ|mag_combust|rng_multishot","rng_multishot","1","0","70"
1780119627,"12","0","2","boss","pick","rog_evis|mag_fireball|mag_scorch|util_mana_surge","rog_evis","1","1","120"
1780119628,"12","0","2","boss","pick","rog_evis|mag_fireball|mag_scorch|util_mana_surge","mag_fireball","2","0","120"
1780195770,"12","1","1","normal","pick","rng_heal|rng_rain|rng_barrage","rng_rain","1","0","40"
